2-THETA,INTENSITY
 8.30,39.30
16.64,3.08
20.34,1.96
21.24,17.62
22.51,49.31
24.06,85.16
25.07,7.44
25.76,100.00
27.68,85.31
29.80,51.65
31.97,22.78
33.64,24.88
34.28,6.79
34.29,37.05
34.35,18.48
34.65,44.90
34.68,22.36
36.74,1.51
37.04,19.87
37.06,9.72
39.64,7.62
39.81,14.33
40.11,12.05
40.57,10.28
41.16,18.46
41.17,37.36
41.36,8.38
42.22,6.80
42.41,20.00
43.27,4.17
44.60,1.76
44.66,18.73
44.76,9.49
47.09,1.11
49.83,1.71
50.86,4.24
50.97,2.08
52.71,2.60
53.15,12.90
53.19,25.48
54.14,1.02
54.17,1.34
54.63,3.61
54.68,3.13
55.09,1.42
55.37,6.20
55.38,6.58
55.54,3.47
56.32,8.23
56.38,8.33
57.17,3.69
57.27,8.08
57.35,7.86
57.99,5.48
58.10,2.72
58.46,4.08
58.47,5.50
58.48,5.52
59.44,5.81
59.83,2.70
59.92,2.66
60.55,1.56
60.60,3.10
61.14,12.69
61.25,25.21
61.53,3.81
61.83,1.12
61.91,6.69
61.91,1.11
61.94,1.11
64.27,6.37
64.55,2.70
65.91,7.50
66.04,3.75
66.84,5.28
67.66,1.33
69.59,3.72
70.71,3.25
71.63,5.19
71.67,5.21
71.78,5.09
72.05,7.70
72.16,3.83
72.23,2.08
72.25,8.27
72.39,4.08
73.70,3.38
73.87,1.74
74.62,8.13
74.75,4.05
75.40,1.09
76.60,1.16
77.10,2.05
77.25,1.17
77.27,1.82
77.41,1.27
77.71,1.87
77.78,3.80
77.90,2.57
77.95,2.68
78.72,2.50
78.84,2.58
78.89,1.05
79.74,1.53
79.75,1.78
79.85,1.38
79.94,1.77
82.37,1.45
82.42,1.38
83.55,1.69
84.19,1.12
85.28,7.98
85.31,1.01
85.52,3.92
87.58,1.12
87.66,2.20
89.35,1.61
89.37,3.21
